0,40980826,42846971,68826600,26190067,40939213,43373770,32408142,10086635,42781016,42070940
1,32376912,27571673,20850227,27708803,68573258,38585663,44901854,13919841,42346741,15546902
2,42307948,30047836,44571239,11027458,42741695,37310468,41904262,20992900,6143603,39798888
3,24221483,26909847,32299255,19715169,25196237,28563523,45555213,7945974,48976470,40547318
4,39571681,30336475,40337183,35979463,18899053,47973907,20355924,51844436,36874715,28076260
5,20955370,19096759,42354822,36164077,33205862,29688930,18937822,28251662,16665125,39760427
6,44621530,30645850,30400875,38972627,35104392,22833471,29505900,28082680,41212270,33037879
7,39992055,52585263,16803440,32660610,55486509,39345492,36544773,56830140,45054043,50052963
8,31622089,45598773,20214796,42250167,38864977,51051250,35425990,28112142,38576140,34721902
9,41709928,36298531,44447387,33575927,40026168,15011662,44322698,42512412,9099440,35946964
10,46251933,31149166,19228337,37615073,43407820,45253219,48832844,40080705,21630529,44243610
