0,31070431,28842788,16488913,38515585,30295325,15956108,19627677,40320573,28313303,31430909
1,19713722,20579845,35278893,39870125,14890185,23315285,18004997,28628102,30503387,23701868
2,29138497,20396713,16378807,44213157,16583570,16790081,28509453,25282255,38708570,22519164
3,39145128,20953085,16099020,31608912,41780004,37291297,33380295,47371988,14983520,27677976
4,22735888,25078345,28898619,23834807,32912328,19095207,31750658,17777233,21902065,39548733
5,33489433,32293615,25099773,21605975,19628921,15802214,60399175,40398851,44773258,20675575
6,28489812,41119012,26395355,22273214,25290137,43209708,34715288,23969370,24645091,21619883
7,31341011,19462993,28609920,22768161,16307080,23044560,27180283,17398460,12127982,16283088
8,24988295,16240623,30976142,25270261,28815029,21849198,21055450,41977981,23640633,25433827
9,25454656,19754547,32812048,22651202,29357034,10609016,24293762,21666193,29806640,20630880
10,30755405,24471032,43861542,26567257,28865886,30847938,15707725,22887721,19124448,33173315
