0,40969078,32790720,48663470,40149910,45318351,20292940,79626545,52033708,30165715,12192715
1,42469704,15436370,29656465,31699420,45323669,40670048,43192987,44927853,41109290,13240405
2,34173505,41471602,46717824,61424490,33995982,55764822,47793275,33903786,53968479,26006415
3,32229492,41541168,45905365,46628619,8182898,85443338,59876382,51158555,64978663,35757255
4,58045970,94913995,31192303,83164052,80247915,45893862,141825632,375897725,157254535,18242421
5,45705793,62427822,56229220,134909535,51278418,23359243,61896484,19900155,32483897,32254823
6,45818136,32162115,30218276,45509965,66147604,43619131,56972665,918731888,66901393,198407358
7,37096485,93142127,120594434,47276207,123191223,31179778,47740739,87381817,87596568,131107325
8,30099638,32514587,47364743,22571145,25307263,37964284,15513552,41535115,42907190,109343622
9,14143138,20823695,17184545,44634743,30937310,49428678,39946199,52023265,39303630,49949961
10,47204095,43991066,15042510,49499989,17143198,38815848,63940085,32210407,33229237,17689575
